country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_range,update_hour,pollution_category
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",2026-05-31 10:00:00,21.51161,86.89088,SO2,6.0,8.0,7.0,2.0,10,Good
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",2026-05-31 10:00:00,21.51161,86.89088,CO,26.0,52.0,34.0,26.0,10,Good
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",2026-05-31 10:00:00,21.51161,86.89088,OZONE,9.0,77.0,20.0,68.0,10,Good
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",2026-05-31 10:00:00,21.941841,86.728318,NH3,1.0,70.0,12.0,69.0,10,Good
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB",2026-05-31 10:00:00,21.941841,86.728318,OZONE,11.0,47.0,18.0,36.0,10,Good
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-05-31 10:00:00,28.563262,77.186937,PM2.5,18.0,85.0,43.0,67.0,10,Good
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-05-31 10:00:00,28.563262,77.186937,PM10,33.0,265.0,83.0,232.0,10,Moderate
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",2026-05-31 10:00:00,19.04946,72.923,PM10,33.0,265.0,83.0,232.0,10,Moderate
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",2026-05-31 10:00:00,19.04946,72.923,SO2,33.0,265.0,83.0,232.0,10,Moderate
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-05-31 10:00:00,28.732528,77.11992,PM10,41.0,422.0,112.0,381.0,10,Poor
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",2026-05-31 10:00:00,19.083694,72.920967,SO2,1.0,4.0,3.0,3.0,10,Good
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-05-31 10:00:00,28.732528,77.11992,CO,36.0,64.0,40.0,28.0,10,Good
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-05-31 10:00:00,28.6514781,77.1473105,NO2,30.0,50.0,40.0,20.0,10,Good
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2026-05-31 10:00:00,28.5504249,77.2159377,NO2,12.0,35.0,22.0,23.0,10,Good
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-05-31 10:00:00,28.710508,77.249485,NO2,12.0,33.0,21.0,21.0,10,Good
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-05-31 10:00:00,28.710508,77.249485,CO,62.0,185.0,120.0,123.0,10,Poor
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",2026-05-31 10:00:00,28.296139,74.961696,NH3,7.0,9.0,8.0,2.0,10,Good
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",2026-05-31 10:00:00,28.296139,74.961696,SO2,4.0,5.0,4.0,1.0,10,Good
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",2026-05-31 10:00:00,8.5637,76.8865,SO2,4.0,5.0,4.0,1.0,10,Good
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",2026-05-31 10:00:00,26.895552,76.334753,NO2,4.0,50.0,21.0,46.0,10,Good
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",2026-05-31 10:00:00,26.895552,76.334753,NH3,10.0,33.0,15.0,23.0,10,Good
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",2026-05-31 10:00:00,26.699557,77.898881,NO2,6.0,28.0,13.0,22.0,10,Good
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",2026-05-31 10:00:00,26.699557,77.898881,CO,12.0,30.0,14.0,18.0,10,Good
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",2026-05-31 10:00:00,26.699557,77.898881,OZONE,34.0,67.0,40.0,33.0,10,Good
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",2026-05-31 10:00:00,23.837789,73.714926,NO2,4.0,14.0,9.0,10.0,10,Good
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",2026-05-31 10:00:00,23.837789,73.714926,OZONE,33.0,56.0,48.0,23.0,10,Good
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",2026-05-31 10:00:00,29.61075,74.283608,NH3,6.0,15.0,8.0,9.0,10,Good
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",2026-05-31 10:00:00,26.902909,75.836858,NO2,9.0,30.0,16.0,21.0,10,Good
