country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","31-05-2026 10:00:00",25.5626095,84.663264,SO2,5,5,5
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","31-05-2026 10:00:00",28.83526,78.74460,OZONE,11,30,12
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","31-05-2026 10:00:00",28.88528,78.73880,PM2.5,23,66,39
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","31-05-2026 10:00:00",24.75746,84.366208,NO2,7,8,8
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","31-05-2026 10:00:00",28.88528,78.73880,NH3,4,4,4
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","31-05-2026 10:00:00",12.920984,77.584908,CO,8,66,11
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","31-05-2026 10:00:00",24.75746,84.366208,OZONE,5,48,8
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","31-05-2026 10:00:00",25.42742023,86.13886079,PM10,14,121,58
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","31-05-2026 10:00:00",28.856664,78.772638,PM2.5,14,40,26
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","31-05-2026 10:00:00",12.7816279,77.6299145,SO2,22,22,22
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","31-05-2026 10:00:00",12.7816279,77.6299145,CO,38,40,39
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","31-05-2026 10:00:00",28.856664,78.772638,NH3,6,6,6
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","31-05-2026 10:00:00",12.7816279,77.6299145,OZONE,26,27,26
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","31-05-2026 10:00:00",26.80365,84.51954,PM2.5,12,47,31
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","31-05-2026 10:00:00",26.80365,84.51954,PM10,11,42,28
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","31-05-2026 10:00:00",28.849399,78.742362,PM2.5,12,53,30
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","31-05-2026 10:00:00",13.0270199,77.494094,NH3,3,5,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.251013,86.989001,PM10,33,104,56
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.251013,86.989001,NO2,9,14,12
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.251013,86.989001,CO,20,49,29
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","31-05-2026 10:00:00",28.802625,78.753728,NO2,24,25,24
